2024-04-23

cooldowm 90 iteration 4 VM 013 time taken 70
cooldowm 90 iteration 4 VM 014 time taken 60
cooldowm 90 iteration 4 VM 015 time taken 50
cooldowm 90 iteration 4 VM 016 time taken 60
cooldowm 90 iteration 4 VM 017 time taken 70
cooldowm 90 iteration 4 VM 018 time taken 60
cooldowm 90 iteration 4 VM 019 time taken 60
cooldowm 90 iteration 4 VM 020 time taken 60
cooldowm 90 iteration 4 VM 021 time taken 60
cooldowm 90 iteration 4 VM 023 time taken 60
cooldowm 90 iteration 4 VM 024 time taken 70
cooldowm 90 iteration 4 VM 025 time taken 60
cooldowm 90 iteration 4 VM 029 time taken 60
cooldowm 90 iteration 4 VM 030 time taken 60
cooldowm 90 iteration 4 VM 031 time taken 60
cooldowm 90 iteration 4 VM 032 time taken 70
cooldowm 90 iteration 4 VM 037 time taken 60
cooldowm 90 iteration 4 VM 038 time taken 60
cooldowm 90 iteration 4 VM 039 time taken 60
cooldowm 90 iteration 4 VM 041 time taken 70
cooldowm 90 iteration 4 VM 042 time taken 60
cooldowm 90 iteration 4 VM 043 time taken 80
cooldowm 90 iteration 4 VM 044 time taken 70
cooldowm 90 iteration 4 VM 045 time taken 60
cooldowm 90 iteration 4 VM 046 time taken 70
cooldowm 90 iteration 4 VM 047 time taken 70
cooldowm 90 iteration 4 VM 048 time taken 60
cooldowm 90 iteration 4 VM 050 time taken 60
completed cooldown iteration 4
cooldowm 90 iteration 5 VM 002 time taken 70
cooldowm 90 iteration 5 VM 003 time taken 60
cooldowm 90 iteration 5 VM 004 time taken 60
cooldowm 90 iteration 5 VM 005 time taken 60
cooldowm 90 iteration 5 VM 006 time taken 60
cooldowm 90 iteration 5 VM 007 time taken 70
cooldowm 90 iteration 5 VM 009 time taken 70
cooldowm 90 iteration 5 VM 010 time taken 70
cooldowm 90 iteration 5 VM 011 Base time taken 70
cooldowm 90 iteration 5 VM 012 time taken 60
cooldowm 90 iteration 5 VM 013 time taken 60
cooldowm 90 iteration 5 VM 014 time taken 60
cooldowm 90 iteration 5 VM 015 time taken 60
cooldowm 90 iteration 5 VM 016 time taken 70
Error running VM 017
cooldowm 90 iteration 5 VM 018 time taken 50
cooldowm 90 iteration 5 VM 019 time taken 60
cooldowm 90 iteration 5 VM 020 time taken 70
cooldowm 90 iteration 5 VM 021 time taken 60
cooldowm 90 iteration 5 VM 023 time taken 60
cooldowm 90 iteration 5 VM 024 time taken 60
cooldowm 90 iteration 5 VM 025 time taken 60
cooldowm 90 iteration 5 VM 029 time taken 60
cooldowm 90 iteration 5 VM 030 time taken 60
cooldowm 90 iteration 5 VM 031 time taken 60
cooldowm 90 iteration 5 VM 032 time taken 60
cooldowm 90 iteration 5 VM 037 time taken 60
cooldowm 90 iteration 5 VM 038 time taken 60
cooldowm 90 iteration 5 VM 039 time taken 60
cooldowm 90 iteration 5 VM 041 time taken 70
Error running VM 042
cooldowm 90 iteration 5 VM 043 time taken 60
cooldowm 90 iteration 5 VM 044 time taken 70
cooldowm 90 iteration 5 VM 045 time taken 60
cooldowm 90 iteration 5 VM 046 time taken 60
cooldowm 90 iteration 5 VM 047 time taken 60
cooldowm 90 iteration 5 VM 048 time taken 70
cooldowm 90 iteration 5 VM 050 time taken 50
completed cooldown iteration 5
cooldowm 90 iteration 6 VM 002 time taken 60
cooldowm 90 iteration 6 VM 003 time taken 60
cooldowm 90 iteration 6 VM 004 time taken 60
cooldowm 90 iteration 6 VM 005 time taken 60
cooldowm 90 iteration 6 VM 006 time taken 60
cooldowm 90 iteration 6 VM 007 time taken 60
Error running VM 009
cooldowm 90 iteration 6 VM 010 time taken 60
cooldowm 90 iteration 6 VM 011 Base time taken 70
cooldowm 90 iteration 6 VM 012 time taken 60
cooldowm 90 iteration 6 VM 013 time taken 60
cooldowm 90 iteration 6 VM 014 time taken 60
cooldowm 90 iteration 6 VM 015 time taken 60
cooldowm 90 iteration 6 VM 016 time taken 50
cooldowm 90 iteration 6 VM 018 time taken 50
cooldowm 90 iteration 6 VM 019 time taken 60
cooldowm 90 iteration 6 VM 020 time taken 60
cooldowm 90 iteration 6 VM 021 time taken 60
cooldowm 90 iteration 6 VM 023 time taken 60
cooldowm 90 iteration 6 VM 024 time taken 50
cooldowm 90 iteration 6 VM 025 time taken 60
cooldowm 90 iteration 6 VM 029 time taken 60
cooldowm 90 iteration 6 VM 030 time taken 60
cooldowm 90 iteration 6 VM 031 time taken 60
cooldowm 90 iteration 6 VM 032 time taken 60
cooldowm 90 iteration 6 VM 037 time taken 60
cooldowm 90 iteration 6 VM 038 time taken 60
cooldowm 90 iteration 6 VM 039 time taken 60
cooldowm 90 iteration 6 VM 041 time taken 70
cooldowm 90 iteration 6 VM 043 time taken 70
cooldowm 90 iteration 6 VM 044 time taken 70
cooldowm 90 iteration 6 VM 045 time taken 60
cooldowm 90 iteration 6 VM 046 time taken 70
cooldowm 90 iteration 6 VM 047 time taken 60
cooldowm 90 iteration 6 VM 048 time taken 60
cooldowm 90 iteration 6 VM 050 time taken 50
completed cooldown iteration 6
cooldowm 90 iteration 7 VM 002 time taken 50
cooldowm 90 iteration 7 VM 003 time taken 50
cooldowm 90 iteration 7 VM 004 time taken 60
cooldowm 90 iteration 7 VM 005 time taken 60
cooldowm 90 iteration 7 VM 006 time taken 60
cooldowm 90 iteration 7 VM 007 time taken 60
cooldowm 90 iteration 7 VM 010 time taken 60
cooldowm 90 iteration 7 VM 011 Base time taken 60
cooldowm 90 iteration 7 VM 012 time taken 60
cooldowm 90 iteration 7 VM 013 time taken 60
cooldowm 90 iteration 7 VM 014 time taken 60
cooldowm 90 iteration 7 VM 015 time taken 60
cooldowm 90 iteration 7 VM 016 time taken 60
cooldowm 90 iteration 7 VM 018 time taken 60
cooldowm 90 iteration 7 VM 019 time taken 70
cooldowm 90 iteration 7 VM 020 time taken 60
cooldowm 90 iteration 7 VM 021 time taken 50
cooldowm 90 iteration 7 VM 023 time taken 60
cooldowm 90 iteration 7 VM 024 time taken 60
cooldowm 90 iteration 7 VM 025 time taken 70
cooldowm 90 iteration 7 VM 029 time taken 70
cooldowm 90 iteration 7 VM 030 time taken 50
cooldowm 90 iteration 7 VM 031 time taken 60
cooldowm 90 iteration 7 VM 032 time taken 60
cooldowm 90 iteration 7 VM 037 time taken 70
cooldowm 90 iteration 7 VM 038 time taken 60
cooldowm 90 iteration 7 VM 039 time taken 60
cooldowm 90 iteration 7 VM 041 time taken 60
cooldowm 90 iteration 7 VM 043 time taken 60
cooldowm 90 iteration 7 VM 044 time taken 60
cooldowm 90 iteration 7 VM 045 time taken 60
cooldowm 90 iteration 7 VM 046 time taken 60
cooldowm 90 iteration 7 VM 047 time taken 70
cooldowm 90 iteration 7 VM 048 time taken 70
cooldowm 90 iteration 7 VM 050 time taken 60
completed cooldown iteration 7
cooldowm 90 iteration 8 VM 002 time taken 70
cooldowm 90 iteration 8 VM 003 time taken 70
cooldowm 90 iteration 8 VM 004 time taken 60
cooldowm 90 iteration 8 VM 005 time taken 60
cooldowm 90 iteration 8 VM 006 time taken 60
cooldowm 90 iteration 8 VM 007 time taken 60
cooldowm 90 iteration 8 VM 010 time taken 70
cooldowm 90 iteration 8 VM 011 Base time taken 60
cooldowm 90 iteration 8 VM 012 time taken 60
cooldowm 90 iteration 8 VM 013 time taken 60
cooldowm 90 iteration 8 VM 014 time taken 70
cooldowm 90 iteration 8 VM 015 time taken 60
cooldowm 90 iteration 8 VM 016 time taken 70
cooldowm 90 iteration 8 VM 018 time taken 60
cooldowm 90 iteration 8 VM 019 time taken 60
cooldowm 90 iteration 8 VM 020 time taken 50
cooldowm 90 iteration 8 VM 021 time taken 70
cooldowm 90 iteration 8 VM 023 time taken 70
cooldowm 90 iteration 8 VM 024 time taken 70
cooldowm 90 iteration 8 VM 025 time taken 70
cooldowm 90 iteration 8 VM 029 time taken 70
cooldowm 90 iteration 8 VM 030 time taken 60
cooldowm 90 iteration 8 VM 031 time taken 60
cooldowm 90 iteration 8 VM 032 time taken 60
cooldowm 90 iteration 8 VM 037 time taken 70
cooldowm 90 iteration 8 VM 038 time taken 60
cooldowm 90 iteration 8 VM 039 time taken 60
cooldowm 90 iteration 8 VM 041 time taken 60
cooldowm 90 iteration 8 VM 043 time taken 70
cooldowm 90 iteration 8 VM 044 time taken 50
cooldowm 90 iteration 8 VM 045 time taken 60
cooldowm 90 iteration 8 VM 046 time taken 60
cooldowm 90 iteration 8 VM 047 time taken 70
cooldowm 90 iteration 8 VM 048 time taken 60
